word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
turquinensis,turquinensis,turquinense,turquinensior,,,3,turquinens
cayennensis,cayennensis,cayennense,cayennensior,,,3,cayennens
yukonensis,yukonensis,yukonense,yukonensior,,,3,yukonens
kumaonensis,kumaonensis,kumaonense,kumaonensior,,,3,kumaonens
saigonensis,saigonensis,saigonense,saigonensior,,,3,saigonens
leonensis,leonensis,leonense,leonensior,,,3,leonens
elgonensis,elgonensis,elgonense,elgonensior,,,3,elgonens
ambonensis,ambonensis,ambonense,ambonensior,,,3,ambonens
clarionensis,clarionensis,clarionense,clarionensior,,,3,clarionens
marionensis,marionensis,marionense,marionensior,,,3,marionens
ceylonensis,ceylonensis,ceylonense,ceylonensior,,,3,ceylonens
nipponensis,nipponensis,nipponense,nipponensior,,,3,nipponens
washingtonensis,washingtonensis,washingtonense,washingtonensior,,,3,washingtonens
cameroonensis,cameroonensis,cameroonense,cameroonensior,,,3,cameroonens
salomonensis,salomonensis,salomonense,salomonensior,,,3,salomonens
cameronensis,cameronensis,cameronense,cameronensior,,,3,cameronens
japonensis,japonensis,japonense,japonensior,,,3,japonens
nelsonensis,nelsonensis,nelsonense,nelsonensior,,,3,nelsonens
lagunensis,lagunensis,lagunense,lagunensior,,,3,lagunens
cantonensis,cantonensis,cantonense,cantonensior,,,3,cantonens
amazonensis,amazonensis,amazonense,amazonensior,,,3,amazonens
solomonensis,solomonensis,solomonense,solomonensior,,,3,solomonens
cuzcoensis,cuzcoensis,cuzcoense,cuzcoensior,,,3,cuzcoens
chocoensis,chocoensis,chocoense,chocoensior,,,3,chocoens
chacoensis,chacoensis,chacoense,chacoensior,,,3,chacoens
curacaoensis,curacaoensis,curacaoense,curacaoensior,,,3,curacaoens
kamerunensis,kamerunensis,kamerunense,kamerunensior,,,3,kamerunens
borneoensis,borneoensis,borneoense,borneoensior,,,3,borneoens
mindanaoensis,mindanaoensis,mindanaoense,mindanaoensior,,,3,mindanaoens
otagoensis,otagoensis,otagoense,otagoensior,,,3,otagoens
tobagoensis,tobagoensis,tobagoense,tobagoensior,,,3,tobagoens
galapagoensis,galapagoensis,galapagoense,galapagoensior,,,3,galapagoens
togoensis,togoensis,togoense,togoensior,,,3,togoens
durangoensis,durangoensis,durangoense,durangoensior,,,3,durangoens
tahoensis,tahoensis,tahoense,tahoensior,,,3,tahoens
idahoensis,idahoensis,idahoense,idahoensior,,,3,idahoens
ohioensis,ohioensis,ohioense,ohioensior,,,3,ohioens
maderensis,maderensis,maderense,maderensior,,,3,maderens
azuayensis,azuayensis,azuayense,azuayensior,,,3,azuayens
philippensis,philippensis,philippense,philippensior,,,3,philippens
galapagensis,galapagensis,galapagense,galapagensior,,,3,galapagens
obanensis,obanensis,obanense,obanensior,,,3,obanens
chimborazensis,chimborazensis,chimborazense,chimborazensior,,,3,chimborazens
cutucuensis,cutucuensis,cutucuense,cutucuensior,,,3,cutucuens
clarendonensis,clarendonensis,clarendonense,clarendonensior,,,3,clarendonens
usambarensis,usambarensis,usambarense,usambarensior,,,3,usambarens
nigroaeneus,nigroaenea,nigroaeneum,nigroaeneior,,,12,nigroaene
lectularius,lectularia,lectularium,lectulariior,,,12,lectulari
californianus,californiana,californianum,californianior,,,12,californian
chalybeus,chalybea,chalybeum,chalybeior,,,12,chalybe
haematobius,haematobia,haematobium,haematobiior,,,12,haematobi
progeneticus,progenetica,progeneticum,progeneticior,,,12,progenetic
thuringiensis,thuringiensis,thuringiense,thuringiensior,,,3,thuringiens
gabonicus,gabonica,gabonicum,gabonicior,,,12,gabonic
