word,gender,irregular,pluralia_tantum
hippocampus_hippocampi,m,fa,fa
murex_muricis,m,fa,fa
dracaena_dracaenae,f,fa,fa
jus_juris,n,fa,fa
tumor_tumoris,m,fa,fa
lis_litis,f,fa,fa
character_characteris,m,fa,fa
monitor_monitoris,m,fa,fa
argentum_argenti,n,fa,fa
ioculator_ioculatoris,m,fa,fa
sophistes_sophistae,m,fa,fa
nauta_nautae,mf,fa,fa
idiota_idiotae,m,fa,fa
iocus_ioci,m,fa,fa
mythos_mythi,m,fa,fa
hydrargyrus_hydrargyri,m,fa,fa
diaeresis_diaeresis,f,fa,fa
versipellis_versipellis,m,fa,fa
filia_filiae,f,fa,fa
armiger_armigeri,m,fa,fa
tata_tatae,m,fa,fa
eques_equitis,m,fa,fa
bellum_belli,n,fa,fa
porcus_porci,m,fa,fa
chirurgus_chirurgi,m,fa,fa
astrologus_astrologi,m,fa,fa
